Mon May  9 16:53:45 2022    Output.dat

         39877722 function calls (38825456 primitive calls) in 20.821 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      218    0.001    0.000    0.018    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:115(__init__)
       31    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      326    0.001    0.000    0.015    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\patches.py:747(get_patch_transform)
  408/256    0.001    0.000    0.031    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\spines.py:330(get_spine_transform)
    72/56    0.001    0.000    0.068    0.001 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\axis.py:830(reset_ticks)
3400/3168    0.001    0.000    0.008    0.000 {built-in method builtins.next}
      572    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:844(set_stretch)
       20    0.001    0.000   20.566    1.028 c:\Users\simon\Documents\Phd\SPH\wcsph_solver_numpy_numba\particle_system.py:95(initialize_particle_system)
     1536    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(append)
     1344    0.001    0.000    0.004    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:81(_stale_axes_callback)
      772    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\font_manager.py:862(set_size)
      330    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:2586(__init__)
1662/1604    0.001    0.000    0.006    0.000 C:\Users\simon\anaconda3\envs\numba\lib\contextlib.py:108(__enter__)
        2    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\backends\backend_agg.py:87(__init__)
      906    0.001    0.000    0.020    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\artist.py:1159(set)
      324    0.001    0.000    0.002    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\transforms.py:1100(__init__)
     2954    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      124    0.001    0.000    0.018    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\text.py:872(get_window_extent)
     9288    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       32    0.001    0.000    0.006    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
      706    0.001    0.000    0.001    0.000 C:\Users\simon\anaconda3\envs\numba\lib\site-packages\matplotlib\cbook\__init__.py:184(__init__)
